file_type,proj_count,total_count
gii,12,146
vtp,12,46
msc,12,80
ds,12,166
wxs,12,238
55,12,49
stop,12,37
aps,12,26
grid,12,34
extra,12,35
idx1-ubyte,12,22
hea,12,679
foo,12,36
contrib,12,22
slim,12,22
msvc,12,16
1-cudnn7-centos6,12,13
custom_op_centos,12,13
0-cudnn7-centos6,12,13
doxyfile,12,34
cpu-centos6,12,13
cor,12,82
testa,12,27
mc,12,45
df,12,50
cyml,12,23
js~,12,18
webloc,12,77
pcs,12,388
w32,12,13
torrent,12,12
56,12,47
dj,12,39
31,12,84
expected,12,278
webidl,12,159
mimetypes,12,12
vrt,12,16
ahk,12,32
cube,12,69
mozilla,12,24
dpr,12,64
nrrd,12,135
ipynb copy,12,15
egg-info,12,40
cppclean,12,13
lt,12,24
debian,12,14
release,12,19
mask,12,28
twbr,12,23
sda,12,36
36,12,89
mp,12,20
04-manylinux2010-multipython,12,55
phr,12,45
tyml,12,124
re,11,71
pac,11,16
stat,11,2819
sco,11,14
vtt,11,52
bif,11,27
ldscript,11,18
vasp,11,343
xcplayground,11,28
runtime,11,13
head,11,19
mel,11,28
plg,11,20
flv,11,16
fast5,11,179
gpx,11,17
pcapng,11,70
swc,11,137
clean,11,16
bff303bb4466a91b0f88491b207e8ed8,11,13
recipe,11,497
mingw,11,44
ae52e350b9847d6f5c6ca350c4f4eacb,11,13
wrl,11,95
master,11,63
secret,11,52
pref,11,11
batch,11,56
sa,11,28
7ce3307b56dd90453027a6630179282e,11,16
edac63c7227d89192cc41c922d689d22,11,13
pdbqt,11,44
ss,11,220
8d93819b95ff90bf2e2b141c2909bfc9,11,13
git-id,11,22
cypher,11,42
8e582263070076dfe6000411d9b13ce6,11,16
wt,11,132
54,11,40
laptop-4efu4oh5,11,11
note,11,46
qpg,11,13
ef397cef16f8041242e3b6560e168053,11,13
tsp,11,290
yue,11,12
a401ddc61fc3d89fbaee70ea107a9956,11,13
aiff,11,36
si,11,115
au,11,424
40,11,94
0bbb7ccf73587c7f02655596e7fa6477,11,13
01f5d745e5bca5dcb35f0f863f4b0bdf,11,13
crl,11,29
42,11,70
x86,11,22
21cc985cc36d931916863aed24de8c27,11,16
jpe,11,15
4aac42588f98c49a6d4c39c4e65d3387,11,13
889d785885f092c269741b11f2124dce,11,13
repository,11,16
darwin,11,16
049911b67a0ff546e80e2acc6bcbe6ff,11,13
nlogo,11,32
38,11,75
logrotate,11,25
e849ebd7ee95f02a6f4d937acb7575e2,11,13
gpr,11,27
adb,11,127
gcc,11,20
abc,11,62
22ff82ab4b9265075924f41abe0460f7,11,13
ads,11,65
62,11,37
c20b0ff2930d9b36d7aa70e54939d12c,11,13
overrides,11,1918
6c654f95a549a4f09daff21def44f511,11,13
305d7c2b4c83864ca868937855ad1b27,11,13
7f2b82a41322fa94c43a0dbb75472ff4,11,13
a672617b99187e1c4029bc33a4e8a596,11,13
praat,11,17
4ee4b7db2ca10b3f5ec512d26bf8b3f9,11,13
b13797de35037c4f26356e89ba3f9fb1,11,13
33f28d80618a37469e4530603d6f8b5b,11,13
7ee140ca2744c34a2ed33de3ceecb016,11,13
de6a5fe900081a0492fb84f6bfae46a1,11,13
mms,11,36
f57fcc3356b4c910af8ac2ce06d7301c,11,13
147241797a056a32e99562b240ebb283,11,13
e3c2e047714a395c583f80730acd3762,11,13
c66fbc9c72afb9ea062537d3635d1d6c,11,13
f51bd31e8f0e63be278c22d7a4d2bf10,11,13
7b8c9da065dd15894b0c6f851ac461e8,11,13
d6713b65baf275582be556a87a824dd4,11,13
97da4f8a986b55cbe1f81bb22836ac58,11,13
906dd11cca6bee22c6843afb597c87a3,11,13
73b4d9ab83de83ae58707c8bdcda0fc5,11,13
5f6c04f93ace9da3b5f9e0906ba608c2,11,13
bfe819f6abc823642064dc200a54be39,11,13
a57fd76dcafe47299543685aa2387d32,11,13
5e3a4fdad399e2557d6921d7e938faef,11,13
30f57f8851044a464064eec4c938963d,11,13
531649d2c834408569b5aba7d5b2b9fb,11,13
46172a3da4e739c7b65a3b3aa3869e9d,11,13
8e1547062c811ff9b62183ad65bf4ed6,11,13
e01ad8fa7bcb36e969c838578051d684,11,13
54f25b5c3ce8b81c56da0ef6693c5ffb,11,13
c86ae674674567c5779cfb7a30385e45,11,13
da79f6e9c4f07174e5dec173c9481b99,11,13
994c77afc8d6fb072d8b95ccfdf09627,11,13
6943600e0de67c472ee13c9f14345e0f,11,13
e1c6a4364e0762f323cd69d23e030fc8,11,13
c5afcba50538a5f49d6e261f6bcfed40,11,13
2a15d667c53727befded94d9b526afff,11,13
2ac623f4f429bbe90824fa535e73b558,11,13
582f22e10f4f792eb0efe0499d37db30,11,13
14cf0162b6bf5274305b7b573a0c3a82,11,13
b1039d148dbb347b468973dc6bfe0319,11,13
ace2433031b3ea150e728b34850cdceb,11,13
sde,11,11
ce7b07a2114218dbac682b599785820d,11,13
48b91fabd8e14b220898d3daef4ff0b1,11,13
nvme0n1,11,43
devid,11,119
8f5053b1fda58d8224b0fb4827413912,11,13
ade7f371dd3f7c4393baf201b803755a,11,13
1d4646886358156accce640171c77c1d,11,13
3d930e2d4968f325cc6a773df09e8969,11,13
7cafcb2d9dcaadd665afabc65c267f36,11,13
235f7aea351e2aa201447c134468f723,11,13
9ebb5f33ccd9bcfb089d758b7523f0c5,11,13
5bae1500a6c23344cde8b81dd95a2dd7,11,13
5bcdd9205f59d95e025a2896a38ee2bb,11,13
d4ebf95243e3b22d80ea63a1f2be06cc,11,13
6057cf5e982869286b4742cee5639a4b,11,13
cbcae309928553721fdf49cdf98541db,11,13
cd9dec755fc9e6d819137b8e0111e031,11,13
4257318f87e53aa246882d00e42c67d5,11,13
8880ac0caa45450bea484d7e9cafdece,11,13
2f86bbeac16f343c0c9e8d9d363cabb2,11,13
59383d91430d9cb58e7d0aa4e25b1320,11,13
822fd92abf93a33969943a291d819fdf,11,13
3a7add5306fcbf4ac7eb42c57c125e85,11,13
d038cbb36f734c5ddbb023d074711d10,11,13
5914721a121b85cfdc0e39bf4b4e8970,11,13
7758ab9d9eb224bcb73e0e8e803e92c9,11,13
cd,11,66
0e74974631f665395f5e6b01148b4bee,11,13
5053f669dda8f920e5300ed327cdd986,11,13
70dc9da58ada190c2c66f34986636594,11,13
